[2023-06-14 16:47:49,989]-[INFO]-[_internal.py]-[Line:224]-[Msg: * Restarting with stat]
[2023-06-14 16:47:52,018]-[WARNING]-[_internal.py]-[Line:224]-[Msg: * Debugger is active!]
[2023-06-14 16:47:52,023]-[INFO]-[_internal.py]-[Line:224]-[Msg: * Debugger PIN: 799-964-004]
[2023-06-14 16:48:55,519]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.address`.]
[2023-06-14 16:48:55,535]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.address` has been localized to `zh_CN`.]
[2023-06-14 16:48:55,535]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.automotive`.]
[2023-06-14 16:48:55,552]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.automotive` has been localized to `zh_CN`.]
[2023-06-14 16:48:55,552]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.bank`.]
[2023-06-14 16:48:55,552]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.bank` has been localized to `zh_CN`.]
[2023-06-14 16:48:55,567]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.barcode`.]
[2023-06-14 16:48:55,567]-[DEBUG]-[factory.py]-[Line:86]-[Msg:Specified locale `zh_CN` is not available for provider `faker.providers.barcode`. Locale reset to `en_US` for this provider.]
[2023-06-14 16:48:55,567]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.color`.]
[2023-06-14 16:48:55,567]-[DEBUG]-[factory.py]-[Line:86]-[Msg:Specified locale `zh_CN` is not available for provider `faker.providers.color`. Locale reset to `en_US` for this provider.]
[2023-06-14 16:48:55,567]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.company`.]
[2023-06-14 16:48:55,582]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.company` has been localized to `zh_CN`.]
[2023-06-14 16:48:55,582]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.credit_card`.]
[2023-06-14 16:48:55,582]-[DEBUG]-[factory.py]-[Line:86]-[Msg:Specified locale `zh_CN` is not available for provider `faker.providers.credit_card`. Locale reset to `en_US` for this provider.]
[2023-06-14 16:48:55,582]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.currency`.]
[2023-06-14 16:48:55,582]-[DEBUG]-[factory.py]-[Line:86]-[Msg:Specified locale `zh_CN` is not available for provider `faker.providers.currency`. Locale reset to `en_US` for this provider.]
[2023-06-14 16:48:55,598]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.date_time`.]
[2023-06-14 16:48:55,598]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.date_time` has been localized to `zh_CN`.]
[2023-06-14 16:48:55,598]-[DEBUG]-[factory.py]-[Line:106]-[Msg:Provider `faker.providers.emoji` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.]
[2023-06-14 16:48:55,598]-[DEBUG]-[factory.py]-[Line:106]-[Msg:Provider `faker.providers.file` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.]
[2023-06-14 16:48:55,598]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.geo`.]
[2023-06-14 16:48:55,598]-[DEBUG]-[factory.py]-[Line:86]-[Msg:Specified locale `zh_CN` is not available for provider `faker.providers.geo`. Locale reset to `en_US` for this provider.]
[2023-06-14 16:48:55,598]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.internet`.]
[2023-06-14 16:48:55,598]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.internet` has been localized to `zh_CN`.]
[2023-06-14 16:48:55,598]-[DEBUG]-[factory.py]-[Line:106]-[Msg:Provider `faker.providers.isbn` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.]
[2023-06-14 16:48:55,614]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.job`.]
[2023-06-14 16:48:55,614]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.job` has been localized to `zh_CN`.]
[2023-06-14 16:48:55,614]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.lorem`.]
[2023-06-14 16:48:55,614]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.lorem` has been localized to `zh_CN`.]
[2023-06-14 16:48:55,631]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.misc`.]
[2023-06-14 16:48:55,631]-[DEBUG]-[factory.py]-[Line:86]-[Msg:Specified locale `zh_CN` is not available for provider `faker.providers.misc`. Locale reset to `en_US` for this provider.]
[2023-06-14 16:48:55,631]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.passport`.]
[2023-06-14 16:48:55,631]-[DEBUG]-[factory.py]-[Line:86]-[Msg:Specified locale `zh_CN` is not available for provider `faker.providers.passport`. Locale reset to `en_US` for this provider.]
[2023-06-14 16:48:55,631]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.person`.]
[2023-06-14 16:48:55,647]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.person` has been localized to `zh_CN`.]
[2023-06-14 16:48:55,647]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.phone_number`.]
[2023-06-14 16:48:55,662]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.phone_number` has been localized to `zh_CN`.]
[2023-06-14 16:48:55,662]-[DEBUG]-[factory.py]-[Line:106]-[Msg:Provider `faker.providers.profile` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.]
[2023-06-14 16:48:55,662]-[DEBUG]-[factory.py]-[Line:106]-[Msg:Provider `faker.providers.python` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.]
[2023-06-14 16:48:55,662]-[DEBUG]-[factory.py]-[Line:106]-[Msg:Provider `faker.providers.sbn` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.]
[2023-06-14 16:48:55,662]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `zh_CN` in provider `faker.providers.ssn`.]
[2023-06-14 16:48:55,678]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.ssn` has been localized to `zh_CN`.]
[2023-06-14 16:48:55,694]-[DEBUG]-[factory.py]-[Line:106]-[Msg:Provider `faker.providers.user_agent` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.]
[2023-06-14 16:48:55,725]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `en_US` in provider `faker.providers.address`.]
[2023-06-14 16:48:55,741]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.address` has been localized to `en_US`.]
[2023-06-14 16:48:55,741]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `en_US` in provider `faker.providers.automotive`.]
[2023-06-14 16:48:55,756]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.automotive` has been localized to `en_US`.]
[2023-06-14 16:48:55,756]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `en_US` in provider `faker.providers.bank`.]
[2023-06-14 16:48:55,756]-[DEBUG]-[factory.py]-[Line:86]-[Msg:Specified locale `en_US` is not available for provider `faker.providers.bank`. Locale reset to `en_GB` for this provider.]
[2023-06-14 16:48:55,756]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `en_US` in provider `faker.providers.barcode`.]
[2023-06-14 16:48:55,772]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.barcode` has been localized to `en_US`.]
[2023-06-14 16:48:55,772]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `en_US` in provider `faker.providers.color`.]
[2023-06-14 16:48:55,772]-[DEBUG]-[factory.py]-[Line:95]-[Msg:Provider `faker.providers.color` has been localized to `en_US`.]
[2023-06-14 16:48:55,772]-[DEBUG]-[factory.py]-[Line:76]-[Msg:Looking for locale `en_US` in provider `faker.providers.company`.]
